open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-07-26 16:00:00+08:00,186.4100,186.5500,186.4100,186.5300,5651.27,2025-07-26 16:00:59.999000+08:00,1054012.641200,745,3804.23,709545.722200,0
2025-07-26 16:01:00+08:00,186.5200,186.5700,186.4900,186.5600,2497.60,2025-07-26 16:01:59.999000+08:00,465854.951700,415,1843.80,343904.001800,0
2025-07-26 16:02:00+08:00,186.5600,186.5800,186.5100,186.5300,4438.12,2025-07-26 16:02:59.999000+08:00,827873.691600,618,1782.16,332431.030700,0
2025-07-26 16:03:00+08:00,186.5400,186.5700,186.5100,186.5700,1658.12,2025-07-26 16:03:59.999000+08:00,309284.693600,409,1272.48,237353.447000,0
2025-07-26 16:04:00+08:00,186.5600,186.5700,186.4600,186.4600,2569.26,2025-07-26 16:04:59.999000+08:00,479192.119600,500,873.54,162917.638300,0
2025-07-26 16:05:00+08:00,186.4600,186.5500,186.4400,186.5400,2002.52,2025-07-26 16:05:59.999000+08:00,373456.237000,473,1618.75,301887.185100,0
2025-07-26 16:06:00+08:00,186.5500,186.6500,186.5300,186.6300,2656.39,2025-07-26 16:06:59.999000+08:00,495690.870500,557,1526.20,284799.005800,0
2025-07-26 16:07:00+08:00,186.6200,186.6300,186.5800,186.6300,2541.78,2025-07-26 16:07:59.999000+08:00,474324.717200,472,1427.40,266376.396600,0
2025-07-26 16:08:00+08:00,186.6300,186.6500,186.5600,186.6300,3084.97,2025-07-26 16:08:59.999000+08:00,575720.645400,502,1526.37,284857.701300,0
2025-07-26 16:09:00+08:00,186.6200,186.6300,186.5200,186.5500,3696.26,2025-07-26 16:09:59.999000+08:00,689555.866400,667,1389.23,259158.077000,0
2025-07-26 16:10:00+08:00,186.5500,186.6000,186.5300,186.5700,2073.76,2025-07-26 16:10:59.999000+08:00,386880.274900,534,1039.73,193975.122300,0
2025-07-26 16:11:00+08:00,186.5800,186.5800,186.4400,186.4600,4992.19,2025-07-26 16:11:59.999000+08:00,930958.326900,759,773.69,144264.572600,0
2025-07-26 16:12:00+08:00,186.4600,186.5800,186.4600,186.5800,1690.40,2025-07-26 16:12:59.999000+08:00,315251.952300,483,958.92,178836.438900,0
2025-07-26 16:13:00+08:00,186.5800,186.6000,186.5400,186.5800,1800.81,2025-07-26 16:13:59.999000+08:00,335997.351100,503,665.05,124080.911500,0
2025-07-26 16:14:00+08:00,186.5800,186.5900,186.5500,186.5800,1536.45,2025-07-26 16:14:59.999000+08:00,286660.610900,358,215.16,40143.706600,0
2025-07-26 16:15:00+08:00,186.5800,186.6700,186.5500,186.6500,6889.65,2025-07-26 16:15:59.999000+08:00,1285741.334900,905,4830.54,901476.685000,0
2025-07-26 16:16:00+08:00,186.6400,186.8400,186.6400,186.8300,12402.42,2025-07-26 16:16:59.999000+08:00,2315984.459600,957,11095.07,2071811.542500,0
2025-07-26 16:17:00+08:00,186.8300,186.9200,186.8000,186.9100,21630.38,2025-07-26 16:17:59.999000+08:00,4042076.688500,1207,8212.65,1534519.571400,0
